Transaction_id,Card_id,Subtotal,Tax,Total,Address_id,Time,Date,Location_Fraud_Flagged,High_total_Flagged,Non_Fuel_Flagged,IsFraud
1,99750865120001,587.5,76.375,663.875,684,19:40:44,2024-11-05,False,False,False,False
2,99750865120001,1158.32,150.5816,1308.9016,1051,19:46:06,2024-06-23,False,False,True,True
3,99750865120001,1244.5,161.785,1406.285,7691,10:02:44,2024-07-16,False,False,False,False
4,99750865120002,2143.0,278.59000000000003,2421.59,6064,05:25:08,2024-02-21,False,False,False,False
5,99750865120002,2372.5,308.425,2680.925,9707,13:10:39,2024-01-17,True,False,False,True
6,99750865120002,1100.0,143.0,1243.0,2391,17:30:17,2024-02-10,False,False,False,False
7,99750865120002,1870.08,243.1104,2113.1904,4398,20:43:59,2024-11-06,True,False,False,True
8,99750865120002,956.68,124.3684,1081.0484,5060,18:58:33,2024-10-20,False,False,False,False
9,99750865120002,1533.66,199.3758,1733.0358,6015,16:46:21,2024-07-16,True,False,False,True
10,99750865120002,2647.0,344.11,2991.11,4235,06:23:08,2024-03-11,True,False,False,True
11,99750865120003,944.48,122.7824,1067.2624,9410,11:33:02,2024-10-13,False,False,False,False
12,99750865120003,2312.0,300.56,2612.56,5060,08:05:02,2024-03-01,False,False,False,False
13,99750865120003,1780.0,231.4,2011.4,5551,21:25:41,2024-09-11,False,False,True,True
14,99728100670001,2278.0,296.14,2574.14,2822,13:18:29,2024-09-30,False,False,False,False
15,99728100670002,1255.0,163.15,1418.15,6155,06:42:50,2024-08-10,False,False,False,False
16,99728100670002,1985.0,258.05,2243.05,1688,17:04:32,2024-06-14,False,False,False,False
17,99728100670002,2651.0,344.63,2995.63,4409,20:08:55,2024-04-13,False,False,False,False
18,99728100670002,2519.75,327.5675,2847.3175,7691,20:48:42,2024-11-08,False,False,False,False
19,99728100670002,1469.11,190.9843,1660.0943000000002,6613,04:18:54,2024-09-22,False,False,False,False
20,99728100670002,1622.5,210.925,1833.425,9513,22:56:51,2024-08-10,False,False,False,False
21,99728100670002,3867.0,502.71,4369.71,104,12:52:12,2023-11-30,False,False,False,False
22,99728100670003,2617.0,340.21000000000004,2957.21,4235,23:23:49,2024-01-07,True,False,False,True
23,99728100670003,2272.0,295.36,2567.36,6155,02:08:53,2024-08-26,False,False,False,False
24,99728100670003,1974.0,256.62,2230.62,3657,23:37:54,2024-04-15,True,False,False,True
25,99728100670003,1985.2,258.076,2243.276,3290,08:11:18,2024-07-27,True,False,False,True
26,99728100670003,3220.32,418.6416,3638.9616,9689,15:20:40,2024-09-28,True,False,False,True
27,99728100670003,2949.5,383.435,3332.935,9513,00:12:22,2024-09-24,False,False,False,False
28,99722151920001,1864.0,242.32,2106.32,6547,07:48:32,2024-09-05,True,False,False,True
29,99722151920001,2116.38,275.12940000000003,2391.5094,6027,01:19:07,2024-01-11,True,False,False,True
30,99722151920001,3115.0,404.95,3519.95,1576,03:43:46,2024-06-05,False,False,False,False
31,99722151920001,1048.0,136.24,1184.24,7461,10:05:59,2024-10-07,False,False,False,False
32,99722151920002,1885.5,245.115,2130.615,9707,12:45:12,2024-09-19,False,False,False,False
